ststajs	sestais
	saldu
	Pienu
un	un
ķahdas	kādas
Kaŗwtes	Karotes
'	
BvAmljes	Bomeļļas
,-	
	,
şiwahrl	savāri
to	to
.	
par	par
Puà	Putru
M	un
padarri	padari
no	no
ta	tā
kabdu	kādu
	siltu
Apleàmaju	Apliekamu
kà	kā
pirmit	pirmīt
mabzihts	mācīts
»	
	.
	3
	)
	Ņem
	Raudziņu
un	un
	Medu
	,
ja	ja
tihk	tīk
warr	var
arri	arī
DrudşziM	Drusciņu
-	
şidrahstw	sadrāztu
SeepjW	Ziepju
klaht	klāt
lîķt	likt
>	
	,
Mwahtè	savāri
w	to
ķohpâ	kopā
M	un
leezi	liec
wirşm	virsū
.	.
4	4
)	)
Kppj	Cepj
kahdu	kādu
Gihpoķir	Sīpolu
Şķks	Spirgstīs
Mķw	saspied
	to
>	
	,
stmmP	samaisi
w	to
ar	ar
Meddu	Medu
un	un
RaudstM	Raudziņu
,	,
un	un
lèezi	liec
to	to
'	
wirM	virsū
	.
5	5
)	)
Sameklē	Sameklē
Schurku	Žurku
Pirresşias	Pires
	(
	tas
	ir
	:
Şuhdus	Sūdus
)	)
şaŞ	samaisi
şş	tās
Şar	ar
MddU	Medu
/	
	,
leG	liec
wirşi	virsū
,	,
M	tas
Mgoni	Augoni
Mwt	tūdaļ
KMm	cauru
Mķ	dara
.	.
X	X
2	2
/	/
SI	SI
6	6
)	)
Wezzl	Veci
Saķķu	Zaķu
jeb	jeb
Sohfn	Zosu
Tauki	Tauki
,	,
isweļk	izvelk
wiļķdamà	vilkdami
	.
Ar	Ar
to	to
weenu	vienu
SŞ	Zaķu
Tauku	Tauku
warr	var
ŞkabbarWs	skabargus
Mâ	Ādā
eefpraustus	iespraustus
drjhs	drīz
iswilzlnaht	izvilcināt
.	.
7	7
)	)
Mmm	Ņem
PawAas	Pavillas
,	,
tas	tas
Lrr	ir
ta	tā
taukà	taukaina
WMa	Villa
pa	pa
Aitu	Aitu
àhju	kāju
ftarpâ	starpā
/	
	,
	sien
	to
	virsū
	.
8	8
)	)
Pee	Pie
Behrneem	Bērniem
Şrr	var
arridsan	arīdzan
tahs	tās
Puhkas	Pūkas
jeb	jeb
Dubnas	Dūnas
appakfch	apakš
Sohşu	Zosu
Şpahrneem	spārniem
peepluhkaht	pieplūkāt
,	,
sajauzi	sajauc
fchahs	šās
Puhkas	Pūkas
ar	ar
Krchjumu	Krējumu
un	un
apseem	apsien
ar	ar
tahm	tām
to	to
Tşş	
kuìlm	
	Tūkumu
jeb	jeb
Punyi	Puni
Madi	citādi
:	:
Şawahri	Savāri
Kummelişchus	Kumelītes
arPeenu	
	ar
	Pienu
,	,
leij	lej
to	to
kchdâ	kādā
Puhflâ	Pūslī
ne	ne
par	par
leeku	lieku
karstu	karstu
,	,
un	un
tà	tā
kà	kā
Pnbsta	Pūšļa
pufsļeefa	pustiesa
ween	vien
pee	
»	
pildita	
	piepildīta
teek	tiek
,	,
leezi	liec
ts	to
Puhfli	Pūsli
tà	tā
wirfu	virsū
-	
	.
Ja	Ja
tu	tu
juttisi	jutīsi
to	to
Puhflj	Pūsli
atdseeffam	atdziestam
;	;
tad	tad
zittu	citu
Puhfli	Pūsli
ar	ar
siltu	siltu
Peenu	Pienu
buhs	būs
yemmt	ņemt
.	.
Beidsoht	Beidzot
es	es
wchl	vēl
peemļnneschu	pieminēšu
:	:
allaschin	allažiņ
labbaki	labāki
essamz	esam
	:
kur	kur
tas	tas
Punnis	Punis
gattaws	gatavs
,	,
to	to
ar	ar
Bleetiti	Blietīti
jeb	jeb
ar	ar
Şkuttamaju	Skutamaju
waļļa	vaļā
greest	griezt
,	,
drihsaķi	drīzāki
tas	tas
dsthst	dzīst
.	.
Un	Un
kur	kur
Şttuttu	Strutu
àitums	Sutums
,	,
mr	tur
to	to
pafchu	pašu
ne	ne
aplam	aplam
us	uz
weem	vien
reisbchs	reiz
jŞeesh	
	būs
	izspiest
	,
jo	jo
.	.
tas	tas
Wahjais	Vājais
no	no
m	tā
mehds	mēdz
pamirt	pamirt
.	.
