Rihga	Rīga
~	"
septiņi	septiņi
gudri	gudri
"	"
(	(
kas	kas
Miffi	visi
5	5
lihds	līdz
600	600
gaddus	gadus
preeksch	priekš
Kristus	Kristus
dsihmoja	dzīvoja
)	)
samas	savas
leelas	lielas
sapraschanas	saprašanas
dehļ	dēļ
ļohti	ļoti
tappe	tapa
gohdati	godāti
un	un
zeeniti	cienīti
,	,
un	un
Minnu	viņu
runnas	runas
un	un
mahzibas	mācības
stahstija	stāstīja
meens	viens
ohtram	otram
.	.
Te	Te
nu	nu
kahdus	kādus
mahrdus	vārdus
scho	šo
„	„
gudru	gudru
"	"
Paganu	pagānu
mihru	vīru
gribbam	gribam
Amischu	Avīžu
lassitajeem	lasītājiem
preekscha	priekšā
likt	likt
.	.
1	1
)	)
Tahles	Taless
.	.
tas	tas
pirmais	pirmais
no	no
scheem	šiem
gudreem	gudriem
,	,
mehdse	mēdza
sazziht	sacīt
:	:
„	„
Zilmeks	Cilvēks
,	,
mahzees	mācies
sewi	sevi
paschu	pašu
pasiht	pazīt
!	!
"	"
Ģemi	Sevi
paschu	pašu
pasiht	pazīt
mahzitees	mācīties
minsch	viņš
turreja	turēja
par	par
to	to
missgruhtaki	visgrūtāk
isdarramo	izdarāmo
tikkumu	tikumu
.	.
Kad	Kad
kahds	kāds
praffija	prasīja
:	:
kurra	kura
ta	tā
labbaka	labākā
leeta	lieta
effoht	esot
,	,
miņsch	viņš
atbildēja	atbildēja
:	:
„	„
Pasauls	Pasauls
-	-
ehka	ēka
,	,
jo	jo
ta	tā
irr	ir
Deema	Dieva
darbs	darbs
.	.
"	"
Wiņsch	Viņš
apleezinaja	apliecināja
,	,
ka	ka
tam	tam
.	,
kas	kas
mas	maz
runnajoht	runājot
,	,
labba	laba
sapraschana	saprašana
effoht	esot
.	.
Tahles	Taless
arri	arī
reisoja	reizoja
pa	pa
EMpti	Ēģipti
,	,
gribbedams	gribēdams
schahs	šās
semmes	zemes
preesteru	priesteru
gudribu	gudrību
mahzitees	mācīties
.	.
Musch	Viņš
darbojahs	darbojās
dauds	daudz
ar	ar
smaigsnusinņaschanu	zvaigžņuzināšanu
(	(
astronomiju	astronomiju
)	)
,	,
un	un
bij	bija
tas	tas
pirmais	pirmais
,	,
kas	kas
saules	saules
aptumschoschanu	aptumšošanu
riktigi	riktīgi
papreeksch	papriekš
pasluddinaja	pasludināja
.	.
2	2
)	)
Solons	Solons
Medde	veda
reis	reiz
kahdu	kādu
no	no
sameem	saviem
draugeem	draugiem
,	,
ko	ko
tas	tas
behdigu	bēdīgu
atradde	atrada
,	,
us	uz
kahdu	kādu
pakalnu	pakalnu
pee	pie
Atehnes	Atēnas
pilsata	pilsāta
.	.
likke	lika
tam	tam
pilsata	pilsāta
nammus	namus
pahrskattiht	pārskatīt
un	un
sazzija	sacīja
tad	tad
:	:
„	„
Apdohma	Apdomā
.	,
zik	cik
schehloschauohs	žēlošanos
un	un
suhdsibu	sūdzību
appaksch	apakš
scheem	šiem
jumteem	jumtiem
irr	ir
"	
dfirdetas	dzirdētas
tappuschas	tapušas
,	,
zik	cik
taggad	tagad
tur	tur
to	to
paschu	pašu
irr	ir
un	un
zik	cik
mehl	vēl
us	uz
preekschu	priekšu
buhs	būs
.	.
Apstahjees	Apstājies
ne	ne
suhdsees	sūdzies
tapehz	tāpēc
par	par
nelaimi	nelaimi
un	un
nepatihkamahm	nepatīkamām
leetahm	lietām
,	,
jo	jo
ar	ar
to	to
miffeem	visiem
zilmekeem	cilvēkiem
japuhlejahs	jāpūlējas
.	.
"	"
Zittu	Citu
reis	reiz
Solons	Solons
sazzija	sacīja
:	:
„	„
Kad	Kad
miffi	visi
zilmeki	cilvēki
Marretu	varētu
samas	savas
raises	raizes
us	uz
meenu	vienu
Meetu	vietu
sanest	sanest
,	,
un	un
schis	šis
pulks	pulks
no	no
raisehm	raizēm
atkal	atkal
starp	starp
miffeem	visiem
weenadas	vienādās
daķtas	daļās
taptu	taptu
isdallihts	izdalīts
.	,
tad	tad
katrs	katrs
atkal	atkal
labpraht	labprāt
samas	savas
turp	turp
nonestas	nonestās
raises	raizes
us	uz
mahjahm	mājām
ņemtu	ņemtu
jo	jo
tas	tas
ne	ne
buhtu	būtu
meera	mierā
ar	ar
to	to
leelo	lielo
meenadu	vienādu
daLu	daļu
no	no
tahs	tās
leelas	lielās
raisu	raižu
kaudses	kaudzes
.	.
"	"
Solons	Solons
arri	arī
teize	teica
:	:
„	„
NeMeeuu	Nevienu
zilmeku	cilvēku
ne	ne
Marr	var
Preeksch	priekš
nahmes	nāves
laimigu	laimīgu
.	
teikt	teikt
.	.
"	"
3	3
)	)
Kihlons	Kīlons
mehdse	mēdza
sazziht	sacīt
:	:
„	„
Kas	Kas
armeenu	arvienu
runna	runā
.	,
kas	kas
tam	tam
tihk	tīk
.	,
dabbu	dabū
dsirdeht	dzirdēt
.	,
kas	kas
tam	tam
ne	ne
patihk	patīk
.	.
"	"
Tad	Tad
miņsch	viņš
deme	deva
to	to
mahzibu	mācību
:	:
„	„
Ar	Ar
ahtreem	ātriem
sohļeem	soļiem
eij	ej
pee	pie
teem	tiem
behdigeem	bēdīgiem
,	,
ar	ar
lehneem	lēniem
pee	pie
teem	tiem
preezigeem	priecīgiem
draugeem	draugiem
.	.
"	"
4	4
)	)
Pittakus	Pitaks
ne	ne
bij	bija
mantas	mantas
kahrigs	kārīgs
,	,
bet	bet
meklēja	meklēja
ar	ar
masumu	mazumu
istikt	iztikt
;	;
turklaht	turklāt
tas	tas
arri	arī
bij	bija
lohti	ļoti
laipnigs	laipnīgs
mihrs	vīrs
.	.
Kahds	Kāds
buhmmeisteris	būvmeistars
bij	bija
miņņa	viņa
dehlu	dēlu
ar	ar
zirmi	cirvi
nosittis	nositis
.	.
Kad	Kad
nu	nu
slēp	
ka	
ma	
	slepkava
tappe	tapa
preeksch	priekš
Minna	viņa
Mests	vests
(	(
Pittakus	Pitaks
bij	bija
leelakais	lielākais
Maldineeks	valdnieks
Mitilenes	Mitilenes
pilsata	pilsātā
)	)
,	,
tad	tad
tas	tas
to	to
palaide	palaida
malla	vaļā
.	,
sazzidams	sacīdams
:	:
„	„
Peedoht	Piedot
irr	ir
smehtigak	svētīgāk
neka	nekā
nokaut	nokaut
.	.
"	"
Pittakus	Pitaks
deme	deva
scho	šo
padohmu	padomu
:	:
„	„
Kad	Kad
tu	tu
to	to
gribbi	gribi
darriht	darīt
,	,
tad	tad
ne	ne
isstahsti	izstāsti
tuliht	tūlīt
samu	savu
padohmu	padomu
,	,
lai	lai
tu	tu
ne	ne
tohpi	topi
issmeets	izsmiets
,	,
kad	kad
tams	tavs
padohms	padoms
ne	ne
isdohdahs	izdodas
.	.
"	"
Allaschiņ	Allažiņ
miņsch	viņš
mehdse	mēdza
teikt	teikt
:	:
„	„
Darri	Dari
Miffu	visu
peenahkama	pienākamā
(	(
jeb	jeb
ihsa	īsā
)	)
laika	laikā
.	.
"	"
5	5
)	)
Bias	Biants
deme	deva
starp	starp
dauds	daudz
gudrahm	gudrām
mahzibahm	mācībām
ir	ir
schahdas	šādas
:	:
„	„
Ja	Ja
kas	kas
ahtri	ātri
un	un
tuhdal	tūdaļ
pa	
lihds	
	palīdz
,	,
tas	tas
dimkahrtigu	divkārtīgu
paligu	palīgu
dohd	dod
.	.
"	"
„	„
Tik	Tik
tas	tas
irr	ir
nelaimigs	nelaimīgs
,	,
kas	kas
nelaimi	nelaimi
ne	ne
marr	var
panest	panest
.	.
"	"
—	—
Kahdu	Kādu
reis	reiz
,	,
kad	kad
eenaidneeki	ienaidnieki
tumojahs	tuvojās
.	,
neffe	nesa
miņņa	viņa
pasihstami	pazīstami
samas	savas
labbakas	labākās
leetas	lietas
paslehptos	paslēptos
kaktos	kaktos
,	,
un	un
Praffija	prasīja
Biasu	Biantu
,	,
kapehz	kāpēc
tas	tas
arri	arī
ta	tā
ne	ne
darroht	darot
.	.
Miņsch	Viņš
atbildēja	atbildēja
:	:
„	„
Kas	Kas
mannim	manīm
irr	ir
,	,
to	to
es	es
armeen	arvien
ņeffu	nesu
pee	pie
mannis	manis
.	.
"	"
Schee	Šie
mahrdi	vārdi
sihmejahs	zīmējas
us	uz
miņņa	viņa
gudribu	gudrību
,	,
siunaschanu	zināšanu
un	un
mahzibu	mācību
.	.
6	6
)	)
Kleobulus	Kleobuls
deme	deva
schahdas	šādas
mahzibas	mācības
:	:
„	„
Darri	Dari
labbu	labu
,	,
tikpat	tikpat
draugeem	draugiem
,	,
ka	kā
eenaidneekeem	ienaidniekiem
;	;
draugam	draugam
,	,
lai	lai
tu	tu
miņņa	viņa
draudsibassaites	draudzībassaites
zeetaki	cietāki
saseeni	sasien
,	,
eenaidneekam	ienaidniekam
,	,
lai	lai
miņsch	viņš
tams	tavs
draugs	draugs
tohp	top
.	.
"	"
„	„
Ne	Ne
effi	esi
laime	laimē
pahrgal	
-	
Migs	
	pārgalvīgs
,	,
un	un
nelaime	nelaimē
issamiffis	izsamisis
!	!
"	"
„	„
Wihram	Vīram
maijag	vajag
laimi	laimi
un	un
nelaimi	nelaimi
mihrischķigi	vīrišķīgi
panest	panest
.	.
"	"
7	7
)	)
Perianders	Periandrs
allaschiņ	allažiņ
sazzija	sacīja
:	:
„	„
Apdohma	Apdomā
papreeksch	papriekš
labbi	labi
,	,
kad	kad
tu	tu
ko	ko
darri	dari
;	;
un	un
ko	ko
tu	tu
effi	esi
sem	sev
zeeti	cieti
apņehmees	apņēmies
,	,
to	to
arri	arī
isdarri	izdari
!	!
"	"
Gchihs	Šīs
paganu	pagānu
Mihru	vīru
mahzibas	mācības
gan	gan
labbas	labas
;	;
bet	bet
za	ja
kahdam	kādam
nam	nav
Kristus	Kristus
gars	gars
un	un
tas	tas
Miņņam	viņam
ne	ne
peederr	pieder
,	,
tad	tad
tam	tam
nam	nav
spehka	spēka
tahs	tās
pilnigi	pilnīgi
isdarriht	izdarīt
,	,
tam	tam
Kungam	Kungam
pa	pa
prahtam	prātam
.	.
—	—
ld	ld
.	.
Tas	Tas
nahk	nāk
no	no
augschenes	augšienes
.	.
Jehk	Jēk
,	,
1	1
,	,
17	17
,	,
Miffa	Visa
labba	laba
dahwana	dāvana
un	un
wiffa	visa
pilniga	pilnīga
dahwinaschana	dāvināšana
ikr	ir
no	no
augschenes	augšienes
.	.
ģprantschu	Franču
semme	zemē
bij	bija
kahds	kāds
nabbags	nabags
sehns	zēns
,	,
ko	ko
par	par
maso	mazo
Pehteri	Pēteri
sauze	sauca
.	.
Tehms	Tēvs
un	un
mahte	māte
bij	bija
minnam	viņam
senn	sen
mirruschi	miruši
;	;
tapehz	tāpēc
minnam	viņam
Maijadseja	vajadzēja
übbagos	ubagos
eet	iet
.	.
Pehteris	Pēteris
pratte	prata
itt	it
brangi	brangi
dseedaht	dziedāt
,	,
tadehļ	tādēļ
arri	arī
gan	gan
drihs	drīz
itt	it
miffur	visur
tam	tam
maises	maizes
nuzziņu	ņuciņu
labpraht	labprāt
pasneedse	pasniedza
.	.
Bet	Bet
minnam	viņam
bij	bija
tahds	tāds
eeraddums	ieradums
,	,
ka	ka
miņsch	viņš
allaschiņ	allažiņ
tohs	tos
mahrdus	vārdus
sazzija	sacīja
:	:
Tas	Tas
nahk	nāk
no	no
augschenes	augšienes
.	.
Tehms	Tēvs
bij	bija
mirstoht	mirstot
sazzijis	sacījis
:	:
„	„
Mans	Mans
mihļais	mīļais
Pehter	Pēter
,	,
tu	tu
nu	nu
paliksi	paliksi
meens	viens
pats	pats
schinni	šinī
pasaule	pasaulē
un	un
tem	tev
gan	gan
daschu	dažu
reis	reiz
itt	it
gruhti	grūti
klahsees	klāsies
.	.
Bet	Bet
dohma	domā
armeenu	arvienu
:	:
„	„
Tas	Tas
nahk	nāk
no	no
augschenes	augšienes
,	,
tad	tad
nelaimi	nelaimi
Meeglaki	vieglāki
pahrzeetifi	pārcietīsi
.	.
"	"
Pehteris	Pēteris
tehma	tēva
Mahrdus	vārdus
itt	it
labbi	labi
eemehroja	ievēroja
un	un
tohs	tos
nekad	nekad
ne	ne
aismirse	aizmirsa
.	.
Ja	Ja
miņņam	viņam
kahdu	kādu
dahmanu	dāvanu
pasneedse	pasniedza
,	,
tad	tad
miņsch	viņš
sazzija	sacīja
:	:
Paldees	Paldies
,	,
tas	tas
nahk	nāk
no	no
augschenes	augšienes
.	.
Kad	Kad
Pehteris	Pēteris
bij	bija
drufzin	drusciņ
leelaks	lielāks
pafteepees	pastiepies
.	,
tad	tad
sahka	sāka
ihsteni	īsteni
pahrdohmaht	pārdomāt
,	,
ko	ko
gan	gan
schee	šie
mahrdi	vārdi
nosihmejoht	nozīmējot
:	:
Tas	Tas
nahk	nāk
no	no
augschenes	augšienes
.	.
Tad	Tad
miņsch	viņš
nopratte	noprata
,	,
ka	ka
Deems	Dievs
pasauli	pasauli
malda	valda
un	un
ka	ka
miss	viss
,	,
kas	kas
no	
teek	
	notiek
,	,
tikkai	tikai
zaur	caur
Deemu	Dievu
noteek	notiek
.	.
Ar	Ar
scho	šo
tizzibu	ticību
miņņam	viņam
labbi	labi
gahje	gāja
.	.
Pehteris	Pēteris
meeureis	vienreiz
zaur	caur
pilsehtu	pilsētu
staigāja	staigāja
;	;
te	te
usnahze	uznāca
itt	it
breesmiga	briesmīga
auka	auka
un	un
dakstiņsch	dakstiņš
miņņam	viņam
us	uz
kameesi	kamiesi
us	
kritte	
	uzkrita
.	.
Pehteris	Pēteris
uszehlees	uzcēlies
itt	it
meerigi	mierīgi
sazzija	sacīja
:	:
Tas	Tas
nahk	nāk
uo	no
augschenes	augšienes
.	.
Zitti	Citi
,	,
kas	kas
to	to
dsirdeja	dzirdēja
.	,
par	par
tam	tam
smehjahs	smējās
un	un
teize	teica
:	:
Tad	Tad
ta	ta
muļķa	muļķa
dessa	desa
!	!
Kas	Kas
to	to
gaņ	gan
ne	ne
sinn	zin
,	,
ka	ka
dakstiņsch	dakstiņš
no	no
augschenes	augšienes
kriht	krīt
;	;
no	no
appakschas	apakšas
us	uz
augschu	augšu
tatschu	taču
ne	ne
marr	var
krist	krist
.	.
Ļaudis	Ļaudis
to	to
ne	ne
sapratte	saprata
.	,
ka	kā
Pehteris	Pēteris
dohmaja	domāja
.	.
Pehz	Pēc
pahri	pāri
minu	
.	
tehm	
	minūtēm
bij	bija
mehtra	vētra
tai	tai
pascha	pašā
eela	ielā
nammam	namam
jumtu	jumtu
noplēsusi	noplēsusi
un	un
3	3
zilmekus	cilvēkus
nosittusi	nositusi
.	.
Buhtu	Būtu
nu	nu
Pehteris	Pēteris
armeenu	arvienu
prohjam	projām
gahjis	gājis
,	,
miņsch	viņš
buhtu	būtu
akkuraht	akurāt
tai	tai
pascha	pašā
meeta	vietā
nonahzis	nonācis
,	,
kur	kur
jumts	jumts
sagahsahs	sagāzās
.	.
Tad	Tad
buhtu	būtu
nosists	nosists
.	.
Tas	Tas
pateefi	patiesi
no	no
augschenes	augšienes
nahze	nāca
,	,
ka	ka
dakstiņsch	dakstiņš
Miņņam	viņam
uskrtte	uzkrita
.	.
Deema	Dieva
rohka	roka
zaur	caur
tam	tam
miņņu	viņu
no	no
jo	jo
leelakas	lielākas
nelaimes	nelaimes
pasargāja	pasargāja
.	.
Zitta	Citā
reise	reizē
neffe	nesa
Pehteris	Pēteris
kahda	kāda
baggata	bagāta
kunga	kunga
grahmatu	grāmatu
us	uz
kahdu	kādu
meetu	vietu
.	.
Kungs	Kungs
bij	bija
peekohdinajis	piekodinājis
steigtees	steigties
.	.
Pehteris	Pēteris
gahje	gāja
par	par
missihsako	visīsāko
mescha	meža
zellu	ceļu
.	.
Par	Par
plaktu	platu
uhdena	ūdeņa
grahmi	grāvi
pahri	pāri
lezzoht	lecot
,	,
miņsch	viņš
eekritte	iekrita
eekscha	iekšā
un	un
tikko	tikko
ne	ne
noslihke	noslīka
.	.
Grahmatu	Grāmatu
